subject_id,year_in_study,record_date,aerobic_duration,aerobic_pace,aerobic_frequency,walk_without_leash,walk_duration,walk_pace,walk_frequency,walk_reason_bathroom,walk_reason_general_enjoyment,walk_reason_training,walk_reason_other_specify,fetch_games_frequency
grls02VDCV99,0,2012-09,,,,0,10-30 minutes,Brisk,Once/day,0,1,0,,Frequently
grls02VDCV99,1,2014-01,,,,0,10-30 minutes,Run,Once or twice/week,0,1,0,,Frequently
grls02VDCV99,2,2015-01,,,,0,10-30 minutes,Brisk,Once or twice/week,0,1,0,,Frequently
grls03L3L1FF,0,2013-10,10-30 minutes,Bursts of exercise less than 30% of the time,Once/day,1,30-60 minutes,Average,Once/day,0,0,1,,Occasionally
grls03L3L1FF,1,2014-12,,,,0,30-60 minutes,Brisk,Once/day,0,1,0,,Frequently
grls03MTKHLL,0,2014-02,,,,0,Greater than 60 minutes,Average,More than once a day,0,1,1,,Frequently
grls03MTKHLL,1,2015-04,30-60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,1,Greater than 60 minutes,Brisk,More than once a day,1,1,1,,Frequently
grls03MTKHLL,2,2016-03,30-60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,1,Greater than 60 minutes,Average,More than once a day,0,1,0,,Frequently
grls03UREW44,0,2014-04,,,,0,10-30 minutes,Brisk,Once or twice/week,0,1,0,,Occasionally
grls03UREW44,1,2015-06,,,,0,10-30 minutes,Brisk,Once/day,0,1,0,,Occasionally
grls03UREW44,2,2016-05,,,,0,10-30 minutes,Brisk,Once/day,0,1,0,,Occasionally
grls0449M0EE,0,2013-11,30-60 minutes,Engages in strenuous exercise most of the time (greater than 60%),Once/day,1,,,Never,0,0,0,,Occasionally
grls04DN2S55,0,2014-10,Greater than 60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,1,30-60 minutes,Jog,Once/day,1,1,1,,Frequently
grls04DN2S55,1,2015-11,30-60 minutes,Engages in strenuous exercise most of the time (greater than 60%),More than once a day,1,10-30 minutes,Brisk,Once/day,1,1,0,,Frequently
grls04KX35EE,0,2012-12,,,,0,Less than 10 minutes,Average,More than once a day,0,0,1,,Frequently
grls04KX35EE,1,2013-11,,,,0,10-30 minutes,Average,Once/day,0,1,0,,Occasionally
grls04KX35EE,2,2014-12,,,,0,,,Never,0,0,0,,Occasionally
grls04O1IQ00,0,2014-11,,,,0,10-30 minutes,Average,Once or twice/week,0,0,1,,Occasionally
grls04O1IQ00,1,2015-10,,,,0,10-30 minutes,Average,Once or twice/week,0,1,1,,Frequently
grls04O1IQ00,2,2016-10,,,,0,30-60 minutes,Brisk,Once or twice/week,0,1,1,,Occasionally
grls053MV8EE,0,2014-01,Greater than 60 minutes,Engages in strenuous exercise most of the time (greater than 60%),More than once a day,1,Less than 10 minutes,Average,More than once a day,1,1,0,,Frequently
grls056TCYEE,0,2014-10,30-60 minutes,Engages in strenuous exercise most of the time (greater than 60%),Once/day,1,30-60 minutes,Brisk,More than once a day,0,1,0,,Frequently
grls05BPCYNN,0,2013-09,10-30 minutes,Bursts of exercise less than 30% of the time,More than once a day,1,30-60 minutes,Average,More than once a day,0,1,0,,Frequently
grls05BPCYNN,1,2014-09,30-60 minutes,Bursts of exercise less than 30% of the time,Once/day,1,30-60 minutes,Brisk,Once/day,0,1,0,,Frequently
grls05BPCYNN,2,2015-09,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,1,,,Never,0,0,0,,Frequently
grls06YF0BSS,0,2013-05,,,,0,30-60 minutes,Brisk,More than once a day,0,1,0,,Never
grls06YF0BSS,1,2014-02,30-60 minutes,Engages in strenuous exercise most of the time (greater than 60%),Once or twice/week,1,30-60 minutes,Brisk,More than once a day,0,1,0,,Occasionally
grls06YF0BSS,2,2015-05,30-60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Less than once/week,1,Greater than 60 minutes,Brisk,More than once a day,0,1,1,,Frequently
grls0762M2FF,0,2014-05,30-60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once or twice/week,1,,,Never,0,0,0,,Occasionally
grls0762M2FF,1,2015-05,30-60 minutes,Engages in strenuous exercise most of the time (greater than 60%),Once or twice/week,1,10-30 minutes,Average,Less than once/month,1,0,0,,Frequently
grls0762M2FF,2,2016-06,30-60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,1,30-60 minutes,Average,Less than once/month,0,1,0,,Occasionally
grls08SO0S44,0,2015-01,Greater than 60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,1,10-30 minutes,Brisk,Once/day,0,1,0,,Frequently
grls08SO0S44,1,2016-01,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,1,30-60 minutes,Brisk,Once/day,0,1,0,,Frequently
grls08SO0S44,2,2017-01,30-60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,1,30-60 minutes,Brisk,More than once a day,0,1,0,,Frequently
grls09FYB3II,0,2014-08,10-30 minutes,Engages in strenuous exercise most of the time (greater than 60%),Once/day,1,10-30 minutes,Brisk,Once/day,1,1,0,,Frequently
grls09FYB3II,1,2015-10,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,1,10-30 minutes,Brisk,Once/day,0,1,0,,Frequently
grls09FYB3II,2,2016-10,10-30 minutes,Engages in strenuous exercise most of the time (greater than 60%),More than once a day,1,,,Never,0,0,0,,Frequently
grls09ZIN1OO,0,2015-01,,,,0,30-60 minutes,Average,More than once a day,0,1,0,,Frequently
grls09ZIN1OO,1,2015-12,,,,0,30-60 minutes,Brisk,More than once a day,0,1,0,,Frequently
grls09ZIN1OO,2,2017-01,,,,0,30-60 minutes,Brisk,More than once a day,0,1,0,,Frequently
grls0B5181FF,0,2014-04,,,,0,30-60 minutes,Brisk,More than once a day,0,1,0,,Occasionally
grls0B5181FF,1,2015-04,,,,0,30-60 minutes,Brisk,More than once a day,0,1,0,,Occasionally
grls0B5181FF,2,2016-04,,,,0,30-60 minutes,Brisk,More than once a day,0,1,0,,Occasionally
grls0BWF4BDD,0,2013-09,,,,0,10-30 minutes,Brisk,Once/day,0,1,0,,Frequently
grls0BWF4BDD,1,2014-09,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,1,10-30 minutes,Brisk,Once or twice/week,0,1,0,,Frequently
grls0BWF4BDD,2,2015-09,,,,0,30-60 minutes,Average,Once or twice/week,0,1,1,,Frequently
grls0C1YSGAA,0,2014-11,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,1,10-30 minutes,Jog,More than once a day,0,1,0,,Frequently
grls0C1YSGAA,1,2015-11,Less than 10 minutes,Bursts of exercise less than 30% of the time,More than once a day,1,10-30 minutes,Brisk,Once/day,0,1,0,,Occasionally
grls0C1YSGAA,2,2016-12,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,1,10-30 minutes,Brisk,Once or twice/week,0,1,0,,Occasionally
grls0C4FQC88,0,2014-07,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,1,30-60 minutes,Average,Less than once/week,0,1,0,,Frequently
grls0C4FQC88,1,2015-08,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once or twice/week,1,30-60 minutes,Average,Less than once/week,0,1,0,,Occasionally
grls0C4FQC88,2,2016-08,Less than 10 minutes,Bursts of exercise less than 30% of the time,Once/day,1,30-60 minutes,Average,Once or twice/week,1,1,0,,Occasionally
grls0CITW633,0,2013-01,10-30 minutes,Engages in strenuous exercise most of the time (greater than 60%),Once or twice/week,1,,,Never,0,0,0,,Frequently
grls0CSZ8WSS,0,2012-09,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,1,30-60 minutes,Brisk,More than once a day,0,1,0,,Frequently
grls0CSZ8WSS,1,2013-12,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,1,30-60 minutes,Brisk,More than once a day,0,1,0,,Frequently
grls0CSZ8WSS,2,2014-12,30-60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,1,30-60 minutes,Brisk,Once/day,0,1,0,,Occasionally
grls0CXB5W99,0,2014-11,,,,0,30-60 minutes,Brisk,Once/day,0,1,0,,Frequently
grls0CXB5W99,1,2016-01,,,,0,30-60 minutes,Brisk,Once/day,0,1,0,,Frequently
grls0CXB5W99,2,2017-01,,,,0,30-60 minutes,Brisk,Once/day,0,1,0,,Frequently
grls0D3MFXFF,0,2014-05,,,,0,10-30 minutes,Average,Less than once/week,0,1,0,,Frequently
grls0D3MFXFF,1,2015-06,,,,0,10-30 minutes,Average,Once or twice/week,0,1,0,,Frequently
grls0D3MFXFF,2,2016-06,,,,0,10-30 minutes,Average,Less than once/week,0,1,0,,Frequently
grls0D8TYTHH,0,2013-12,,,,0,30-60 minutes,Average,Once or twice/week,0,1,1,,Frequently
grls0D8TYTHH,1,2015-02,30-60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once or twice/week,1,10-30 minutes,Slow,Once or twice/week,1,1,1,,Frequently
grls0D8TYTHH,2,2016-02,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once or twice/week,1,30-60 minutes,Average,Once or twice/week,0,1,0,,Frequently
grls0ENG5Y66,0,2013-03,30-60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,1,10-30 minutes,Brisk,More than once a day,1,1,0,,Occasionally
grls0ENG5Y66,1,2014-03,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,1,30-60 minutes,Brisk,More than once a day,0,1,0,,Occasionally
grls0ENG5Y66,2,2015-03,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,1,10-30 minutes,Average,More than once a day,0,1,0,,Never
grls0EZB9OCC,0,2012-09,,,,0,10-30 minutes,Average,Once or twice/week,0,1,1,,Occasionally
grls0EZB9OCC,1,2013-09,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Less than once/week,1,10-30 minutes,Average,Once or twice/week,1,1,1,,Frequently
grls0EZB9OCC,2,2014-09,30-60 minutes,Bursts of exercise less than 30% of the time,Less than once/week,1,,,Never,0,0,0,,Occasionally
grls0F3UPZPP,0,2014-07,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,1,30-60 minutes,Brisk,More than once a day,0,1,1,,Occasionally
grls0F3UPZPP,1,2015-10,Less than 10 minutes,Bursts of exercise less than 30% of the time,Once/day,1,30-60 minutes,Brisk,Once/day,0,1,0,,Never
grls0F3UPZPP,2,2016-08,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,1,30-60 minutes,Average,Once/day,0,1,0,,Occasionally
grls0FZYUVOO,0,2014-11,30-60 minutes,Bursts of exercise less than 30% of the time,More than once a day,1,30-60 minutes,Brisk,Once or twice/week,0,0,1,,Frequently
grls0FZYUVOO,1,2015-12,10-30 minutes,Bursts of exercise less than 30% of the time,More than once a day,1,30-60 minutes,Brisk,Less than once/week,0,1,0,,Occasionally
grls0FZYUVOO,2,2016-11,10-30 minutes,Bursts of exercise less than 30% of the time,More than once a day,1,30-60 minutes,Brisk,Once or twice/week,0,1,0,,Occasionally
grls0G7VYQ55,0,2013-02,,,,0,10-30 minutes,Average,More than once a day,0,1,0,,Frequently
grls0G7VYQ55,1,2013-12,,,,0,10-30 minutes,Average,More than once a day,0,1,0,,Frequently
grls0G8MGTOO,0,2012-12,10-30 minutes,Bursts of exercise less than 30% of the time,More than once a day,1,10-30 minutes,Brisk,Once or twice/week,1,1,1,,Frequently
grls0G8MGTOO,1,2014-02,10-30 minutes,Bursts of exercise less than 30% of the time,Once or twice/week,1,10-30 minutes,Brisk,Once or twice/week,0,1,0,,Frequently
grls0G8MGTOO,2,2014-12,30-60 minutes,Bursts of exercise less than 30% of the time,Once or twice/week,1,10-30 minutes,Brisk,Less than once/week,0,1,0,,Frequently
grls0HAV8G99,0,2014-06,,,,0,Less than 10 minutes,Average,Less than once/month,0,0,1,,Occasionally
grls0HAV8G99,1,2015-07,Less than 10 minutes,Bursts of exercise less than 30% of the time,Once or twice/week,1,Less than 10 minutes,Average,Less than once/month,1,1,1,,Occasionally
grls0HAV8G99,2,2016-07,,,,0,10-30 minutes,Average,Less than once/week,0,1,0,,Occasionally
grls0HJ94YAA,0,2014-03,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,1,10-30 minutes,Average,Less than once/week,0,1,0,,Frequently
grls0HJ94YAA,1,2015-03,,,,0,30-60 minutes,Average,Once or twice/week,0,1,0,,Occasionally
grls0HJ94YAA,2,2016-04,,,,0,30-60 minutes,Average,Once or twice/week,0,1,0,,Occasionally
grls0IBIS0GG,0,2012-06,,,,0,30-60 minutes,Brisk,Once or twice/week,0,1,0,,Never
grls0IBIS0GG,1,2013-11,,,,0,30-60 minutes,Brisk,Once or twice/week,0,1,0,,Frequently
grls0IBIS0GG,2,2014-06,,,,0,30-60 minutes,Brisk,Once or twice/week,0,1,0,,Frequently
grls0ITPHYFF,0,2014-04,Less than 10 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,1,10-30 minutes,Average,More than once a day,0,1,1,,Frequently
grls0LSLKO,0,2013-03,,,,0,10-30 minutes,Average,Once/day,0,1,0,,Occasionally
grls0LSLKO,1,2014-06,10-30 minutes,Engages in strenuous exercise most of the time (greater than 60%),Once/day,1,Less than 10 minutes,Slow,Once/day,0,0,1,,Frequently
grls0LSLKO,2,2015-06,,,,0,10-30 minutes,Average,Once or twice/week,0,0,1,,Frequently
grls0LUXUMTT,0,2012-11,,,,0,10-30 minutes,Average,Less than once/month,0,1,0,,Frequently
grls0LUXUMTT,1,2014-02,30-60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once or twice/week,1,30-60 minutes,Average,Less than once/month,0,0,0,pet therapy,Occasionally
grls0LUXUMTT,2,2015-01,,,,0,30-60 minutes,Brisk,Once or twice/week,0,0,1,,Occasionally
grls0MWS6OMM,0,2013-09,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,1,10-30 minutes,Brisk,Once or twice/week,0,1,0,,Frequently
grls0MWS6OMM,1,2014-09,,,,0,10-30 minutes,Average,Once or twice/week,0,1,0,,Frequently
grls0MWS6OMM,2,2015-09,,,,0,10-30 minutes,Average,Less than once/week,0,1,0,,Frequently
grls0N6CMARR,0,2012-09,Less than 10 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,1,10-30 minutes,Average,Once/day,0,1,1,,Frequently
grls0N6CMARR,1,2013-08,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,1,10-30 minutes,Brisk,Once or twice/week,0,1,0,,Frequently
grls0N6CMARR,2,2014-11,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,1,10-30 minutes,Average,Once/day,0,1,0,,Frequently
grls0NOGYCWW,0,2013-12,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once or twice/week,1,10-30 minutes,Brisk,Once/day,0,1,0,,Occasionally
grls0NOGYCWW,1,2014-12,10-30 minutes,Engages in strenuous exercise most of the time (greater than 60%),Once/day,1,30-60 minutes,Brisk,Once/day,0,1,0,,Occasionally
grls0NOGYCWW,2,2016-01,,,,0,30-60 minutes,Average,Once/day,0,1,0,,Frequently
grls0O6N06KK,0,2014-07,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once or twice/week,1,10-30 minutes,Average,More than once a day,1,1,0,,Occasionally
grls0O6N06KK,1,2015-07,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,1,10-30 minutes,Average,More than once a day,1,0,0,,Occasionally
grls0O6N06KK,2,2016-07,,,,0,10-30 minutes,Average,More than once a day,1,1,0,,Occasionally
grls0ODDD7QQ,0,2013-01,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,1,Greater than 60 minutes,Brisk,More than once a day,0,1,0,,Frequently
grls0ODDD7QQ,1,2014-03,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,1,30-60 minutes,Brisk,More than once a day,0,1,0,,Occasionally
grls0ODDD7QQ,2,2015-04,,,,0,Greater than 60 minutes,Brisk,More than once a day,1,1,0,,Occasionally
grls0OENGRDD,0,2014-06,,,,0,10-30 minutes,Average,More than once a day,1,1,1,,Occasionally
grls0OENGRDD,1,2015-04,,,,0,10-30 minutes,Brisk,More than once a day,1,1,1,,Frequently
grls0OENGRDD,2,2016-04,,,,0,10-30 minutes,Average,More than once a day,1,1,0,,Occasionally
grls0OGJIE22,0,2013-11,,,,0,10-30 minutes,Average,Once or twice/week,0,0,1,,Occasionally
grls0OGJIE22,1,2014-12,30-60 minutes,Engages in strenuous exercise most of the time (greater than 60%),More than once a day,1,30-60 minutes,Average,Once/day,0,0,1,,Occasionally
grls0OGJIE22,2,2015-12,30-60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,1,30-60 minutes,Average,Once or twice/week,0,0,1,,Occasionally
grls0PXYZ6BB,0,2014-04,,,,0,30-60 minutes,Brisk,More than once a day,0,1,0,,Frequently
grls0PXYZ6BB,1,2015-04,,,,0,30-60 minutes,Brisk,Once/day,0,1,0,,Frequently
grls0PXYZ6BB,2,2016-03,10-30 minutes,Engages in strenuous exercise most of the time (greater than 60%),More than once a day,1,30-60 minutes,Brisk,Once/day,0,1,0,,Frequently
grls0QDSCTT,0,2014-01,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,1,30-60 minutes,Brisk,Once or twice/week,0,1,0,,Frequently
grls0QDSCTT,1,2015-01,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,1,30-60 minutes,Brisk,Once or twice/week,0,1,0,,Frequently
grls0QDSCTT,2,2016-01,,,,0,10-30 minutes,Brisk,Once/day,0,1,0,,Frequently
grls0R37Y2WW,0,2013-10,,,,0,10-30 minutes,Average,Once or twice/week,0,1,1,,Frequently
grls0R37Y2WW,1,2014-11,,,,0,10-30 minutes,Average,Less than once/month,0,1,0,,Frequently
grls0R37Y2WW,2,2015-11,,,,0,10-30 minutes,Average,Less than once/month,0,1,0,,Frequently
grls0RIBHKKK,0,2014-04,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,1,10-30 minutes,Brisk,Less than once/week,0,1,0,,Frequently
grls0RIBHKKK,1,2016-02,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,1,10-30 minutes,Average,Less than once/week,0,1,0,,Frequently
grls0RIBHKKK,2,2017-02,30-60 minutes,Engages in strenuous exercise most of the time (greater than 60%),Once or twice/week,1,10-30 minutes,Brisk,Once or twice/week,0,1,0,,Frequently
grls0SITE9YY,0,2013-11,,,,0,10-30 minutes,Brisk,More than once a day,1,1,1,,Occasionally
grls0SITE9YY,1,2015-01,,,,0,30-60 minutes,Brisk,More than once a day,0,1,0,,Occasionally
grls0SITE9YY,2,2015-12,Less than 10 minutes,Bursts of exercise less than 30% of the time,More than once a day,1,30-60 minutes,Brisk,More than once a day,1,1,1,,Frequently
grls0T3Z16YY,0,2014-08,,,,0,10-30 minutes,Average,Less than once/week,0,1,0,,Occasionally
grls0T3Z16YY,2,2016-09,,,,0,Less than 10 minutes,Slow,Less than once/month,0,1,0,,Frequently
grls0TA2I2SS,0,2014-09,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,1,10-30 minutes,Average,Once/day,0,1,0,,Occasionally
grls0TA2I2SS,1,2015-08,Less than 10 minutes,Bursts of exercise less than 30% of the time,Once or twice/week,1,10-30 minutes,Average,Once/day,0,1,0,,Occasionally
grls0TA2I2SS,2,2016-11,Less than 10 minutes,Bursts of exercise less than 30% of the time,Once or twice/week,1,10-30 minutes,Average,Once/day,0,1,0,,Occasionally
grls0TAMSHFF,0,2014-02,30-60 minutes,Engages in strenuous exercise most of the time (greater than 60%),More than once a day,1,Greater than 60 minutes,Average,More than once a day,0,1,0,,Frequently
grls0TAMSHFF,1,2015-03,Greater than 60 minutes,Engages in strenuous exercise most of the time (greater than 60%),More than once a day,1,Greater than 60 minutes,Run,More than once a day,0,1,0,,Frequently
grls0TAMSHFF,2,2016-03,30-60 minutes,Engages in strenuous exercise most of the time (greater than 60%),More than once a day,1,Greater than 60 minutes,Run,More than once a day,0,1,0,,Frequently
grls0U11TOTT,0,2014-10,,,,0,10-30 minutes,Average,More than once a day,0,1,0,,Occasionally
grls0U11TOTT,1,2016-01,Less than 10 minutes,Engages in strenuous exercise most of the time (greater than 60%),Once/day,1,10-30 minutes,Brisk,Once or twice/week,0,0,1,,Occasionally
grls0U11TOTT,2,2017-01,,,,0,Less than 10 minutes,Brisk,Once/day,0,0,1,,Frequently
grls0V9DN9FF,0,2014-01,30-60 minutes,Bursts of exercise less than 30% of the time,Once/day,1,Greater than 60 minutes,Brisk,More than once a day,0,0,1,,Frequently
grls0V9DN9FF,1,2015-01,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,1,30-60 minutes,Brisk,Once/day,0,0,1,,Frequently
grls0V9DN9FF,2,2016-02,30-60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once or twice/week,1,30-60 minutes,Average,Once or twice/week,0,0,1,,Frequently
grls0VMC6E66,0,2013-07,,,,0,30-60 minutes,Average,Once/day,0,1,0,,Occasionally
grls0VMC6E66,2,2015-07,,,,0,10-30 minutes,Slow,Once/day,1,0,0,,Occasionally
grls0VWS5ZPP,0,2014-05,Greater than 60 minutes,Bursts of exercise less than 30% of the time,Once/day,1,10-30 minutes,Average,More than once a day,1,1,1,,Occasionally
grls0VWS5ZPP,1,2015-08,10-30 minutes,Bursts of exercise less than 30% of the time,Once/day,1,10-30 minutes,Average,Once/day,1,1,1,,Occasionally
grls0VWS5ZPP,2,2016-05,30-60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,1,10-30 minutes,Average,More than once a day,1,1,0,,Occasionally
grls0WE9G899,0,2013-07,,,,0,10-30 minutes,Average,Once/day,0,1,0,,Occasionally
grls0WE9G899,2,2015-07,,,,0,10-30 minutes,Average,Once or twice/week,0,1,0,,Occasionally
grls0WMXEHYY,0,2013-01,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,1,30-60 minutes,Average,More than once a day,1,1,0,,Frequently
grls0WMXEHYY,1,2013-11,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,1,30-60 minutes,Average,More than once a day,1,1,0,,Frequently
grls0XFD2S00,0,2014-09,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,1,10-30 minutes,Slow,More than once a day,0,1,0,,Frequently
grls0XFD2S00,1,2015-09,30-60 minutes,Engages in strenuous exercise most of the time (greater than 60%),More than once a day,1,Less than 10 minutes,Slow,Less than once/month,1,1,0,,Frequently
grls0XFD2S00,2,2016-10,30-60 minutes,Engages in strenuous exercise most of the time (greater than 60%),Once/day,1,Less than 10 minutes,Average,Less than once/month,0,0,1,,Frequently
grls0YCT0XEE,0,2014-11,,,,0,30-60 minutes,Brisk,Once or twice/week,0,1,1,,Frequently
grls0YYYJPBB,0,2014-06,30-60 minutes,Engages in strenuous exercise most of the time (greater than 60%),Once/day,1,30-60 minutes,Brisk,Once/day,1,1,0,,Frequently
grls0YYYJPBB,1,2015-06,,,,0,10-30 minutes,Average,More than once a day,1,1,0,,Frequently
grls0YYYJPBB,2,2016-07,10-30 minutes,Engages in strenuous exercise most of the time (greater than 60%),Once/day,1,10-30 minutes,Brisk,More than once a day,0,1,0,,Frequently
grls0Z1UD211,0,2013-05,,,,0,10-30 minutes,Brisk,Once/day,0,1,1,,Frequently
grls0Z1UD211,1,2014-04,,,,0,30-60 minutes,Brisk,Once/day,0,1,1,,Never
grls0Z1UD211,2,2015-05,,,,0,10-30 minutes,Brisk,Once or twice/week,0,1,0,,Never
grls0Z7K57AA,0,2014-04,,,,0,30-60 minutes,Average,Once or twice/week,0,1,1,,Frequently
